source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id
180, 198, 153, 10299999, 1, 23, 126, 226, 267, 153, 0.969551, 1, 1, 1, 0.861449, 101, 1
267, 201, 212, 10300200, 2, 23, 27, 13, 153, 174, 0.96953, 0.971196, 0.698513, 1, 0.637852, 101, 0
226, 201, 218, 10300200, 2, 174, 23, 27, 126, 153, 0.84559, 1, 0.971196, 1, 1, 101, 0
126, 201, 244, 10300200, 2, 265, 259, 174, 13, 23, 1, 0.967598, 1, 0.797069, 0.96953, 101, 0
23, 201, 284, 10300200, 2, 174, 265, 186, 13, 259, 0.956778, 0.702813, 0.569046, 0.753947, 0.604749, 101, 1
13, 198, 315, 10300458, 3, 65, 186, 254, 265, 259, 1, 1, 1, 1, 1, 101, 0
174, 198, 351, 10300458, 3, 65, 186, 254, 265, 251, 1, 1, 1, 1, 0.972907, 101, 1
259, 198, 387, 10300458, 3, 45, 65, 172, 186, 251, 0.971847, 1, 1, 1, 1, 101, 0
265, 201, 412, 10300458, 3, 65, 172, 45, 186, 251, 1, 1, 0.863864, 1, 1, 101, 0
265, 201, 412, 10300781, 4, 65, 172, 45, 186, 251, 1, 1, 0.863834, 1, 1, 101, 0
254, 201, 418, 10300781, 4, 65, 172, 45, 186, 191, 1, 1, 0.863834, 1, 0.323732, 101, 0
186, 201, 446, 10300781, 4, 65, 45, 191, 10000000, 10000000, 0.968197, 0.755855, 0.27485, 0, 0, 101, 0
65, 201, 485, 10300782, 4, 191, 67, 10000000, 10000000, 10000000, 0.568332, 0.323983, 0, 0, 0, 101, 1
191, 201, 646, 10301170, 5, 279, 67, 107, 10, 223, 0.783797, 1, 0.755451, 0.604426, 0.478846, 101, 1
67, 201, 690, 10301170, 5, 279, 223, 10, 173, 55, 0.944595, 0.877989, 0.863502, 0.430333, 0.323685, 101, 0
67, 201, 690, 10301519, 6, 279, 223, 10, 173, 55, 0.944533, 0.877854, 0.86347, 0.430317, 0.323673, 101, 0
10, 198, 713, 10301519, 6, 55, 173, 279, 223, 248, 1, 1, 1, 1, 0.862101, 101, 0
10, 198, 713, 10305719, 7, 55, 173, 279, 223, 248, 1, 1, 1, 1, 0.861711, 101, 0
279, 201, 812, 10305720, 7, 3, 130, 248, 55, 173, 1, 1, 1, 1, 1, 101, 1
55, 201, 880, 10305720, 7, 3, 130, 248, 10000000, 10000000, 0.64672, 0.75354, 0.861711, 0, 0, 101, 0
248, 220, 798, 10306147, 8, 288, 196, 3, 95, 130, 0.945544, 0.95412, 1, 0.797688, 1, 101, 0
173, 201, 845, 10306147, 8, 3, 130, 248, 55, 166, 0.754472, 0.861149, 0.969381, 1, 0.646941, 101, 0
130, 248, 798, 10306147, 8, 258, 196, 3, 288, 95, 0.955823, 0.948211, 1, 0.605402, 0.539129, 101, 0
